time,latitude,longitude,chl,uo,vo,fe,no3,po4,si,o2,ph,so,spco2,thetao,wo
2022-09-01,20.0,87.0,0.6788659,-0.02544438,-0.06580049,0.0032634777,7.039327,0.0032705553,3.703557,204.84145,8.076851,24.509443,33.230286,30.373676,2.812182e-06
2022-09-01,21.25,89.25,1.7487423,0.19831908,-0.06819186,0.0033951334,6.265864,0.06933122,2.6580997,219.20085,8.258403,21.269175,15.681612,30.38061,5.491788e-06
2022-09-01,21.25,89.0,1.8288646,0.11218787,-0.22950397,0.0031360977,4.4693127,0.049191486,1.9885685,220.9661,8.315528,20.377378,13.90295,30.277332,-2.0571035e-06
2022-09-01,21.25,88.75,2.584062,0.14443514,-0.002436056,0.0029011234,3.1122768,0.0092573445,2.1134245,225.70139,8.378215,10.816253,12.00683,31.126549,5.364491e-06
2022-09-01,21.25,88.5,2.8093777,0.10177408,-0.004717941,0.0030196402,2.1330814,0.0071028285,2.6654027,226.18188,8.369891,11.892576,11.462446,30.92802,-7.3208486e-07
2022-09-01,21.25,88.25,2.6823473,0.107060954,-0.017242458,0.003515467,2.2552373,0.006858943,3.0015783,224.31735,8.33432,12.348464,12.691544,30.94072,-4.783223e-07
2022-09-01,21.25,88.0,2.4323497,0.086863235,-0.03717413,0.0036747174,3.897008,0.0066774515,2.5567539,220.62492,8.264965,13.841802,17.083635,30.875528,9.494984e-07
2022-09-01,21.25,87.75,1.8873805,0.08707541,0.010549263,0.004180371,5.532691,0.008379384,2.4545896,214.08203,8.15883,17.857533,23.712698,30.807528,-1.0430591e-06
2022-09-01,21.25,87.5,0.41439858,0.098925486,0.0052821217,0.004498498,6.93107,0.00051231706,3.935202,210.1464,8.0845,20.198092,30.075687,30.841585,-9.441911e-07
2022-09-01,21.25,87.25,0.60487336,0.23231126,0.030024972,0.005093249,7.873204,0.0006421779,4.832538,210.37537,8.08081,19.904377,28.120457,30.878868,-1.1557336e-06
2022-09-01,21.25,87.0,1.0758106,0.14319018,0.09109384,0.006075578,8.043571,0.0008437447,5.6502323,209.78938,8.113746,17.458118,22.997368,31.2691,-5.504695e-07
2022-09-01,21.0,91.0,0.52330893,-0.039176717,-0.17406829,0.0072963447,24.657606,0.0011733043,7.869821,237.58572,8.109386,11.666769,32.80699,30.932158,1.933076e-06
2022-09-01,21.0,90.75,0.8015116,0.025962124,-0.10094289,0.008210126,31.390718,0.001812923,6.42965,247.42825,8.12714,13.497752,32.34613,30.962208,6.5208264e-06
2022-09-01,21.0,90.5,0.8917901,0.087901466,0.006513952,0.007282296,33.192318,0.001973164,6.507768,240.65973,8.153042,18.40097,31.092281,30.889439,1.5756035e-06
2022-09-01,21.25,89.5,1.5415574,0.15334713,0.0100654885,0.003701547,11.373424,0.09369953,2.5098245,217.71075,8.219934,23.812637,18.127445,30.40332,-2.6369516e-06
